00110110,"67.76405322376354, 47.108394383458695, -99.80422230923193, -99.98483207831853"
00110111,"71.2156369934778, -99.993896484375, -99.8046875, -77.26093587052223"
00111000,"-50.0, -4.473270238495935, -9.932837789614794, 83.51806031416228"
00111001,"-50.0, -50.0, -0.6043443350241162, 66.11701804935058"
00111010,"-50.0, 44.02824379333321, -16.166169163766945, -50.0"
00111011,"-75.0, -75.0, 25.5769398740478, -75.0"
00111100,"-50.0, -61.02974887871394, -75.0, -45.14122074931709"
00111101,"-75.0, -87.5, -75.0, -18.498237327948004"
00111110,"-88.47611950277074, -48.997567198673075, -75.0, -93.75"
00111111,"-99.88537039067214, -99.99999850988388, -99.99999850988388, -99.99999850988388"
00120000,"0.0, 0.0, 0.0, 0.0"
00120001,"-26.230470215849742, -50.0, -7.033811609789879, 113.32174111387079"
00120010,"-27.17770210954911, -11.782128579146956, 98.86040737447972, -50.0"
00120011,"-36.70149249250936, -75.0, -14.068925344686676, -75.0"
00120100,"31.801293642617317, 43.301167647002764, -50.0, 99.38450550552692"
00120101,"2.712238725630142, -50.0, -48.0, 64.29280599572056"
00120110,"1.1504822978392506, 33.78794324822147, -99.0625, -99.765625"
00120111,"16.517581412620174, -93.75, -99.8046875, -97.5781455937756"
00121000,"-50.0, 38.84650193230128, 133.4152537483037, -6.636240650001472"
00121001,"-50.0, -75.0, 103.73608986696689, -20.50291638423984"
00121010,"-50.0, -1.741267458845563, 108.50144726909198, -50.0"
00121011,"-50.0, -73.0748047299548, 35.90634705305692, -52.28891270018223"
00121100,"-50.0, -43.75932386707408, -69.27468448125225, -22.120955617162316"
00121101,"-87.5, -75.0, -59.164909900713674, 26.492578028704237"
00121110,"-87.5, -7.475278962656738, -75.0, -87.5"
00121111,"-99.99998807907104, -99.96681624338945, -99.99998918141154, -99.99997633436949"
00200000,"0.0, 0.0, 0.0, 0.0"
00200001,"26.548940763646222, -50.0, 37.47067240993438, 34.27689840928632"
00200010,"-3.3143005886000196, 183.29053908859265, -8.008751555558717, -50.0"
00200011,"-47.64890144693739, -68.75509457197501, 2.3035971348793822, -75.0"
00200100,"12.940691462781817, 157.3740847421929, -50.0, 28.729408268732836"
00200101,"11.851080516811393, -50.0, -50.0, 12.791529546514079"
00200110,"49.002263795605344, 199.21980612637515, -50.0, -50.0"
00200111,"26.22212495588833, -75.0, -87.5, -87.5"
00201000,"-50.0, 10.681702912423459, 8.617655556959335, 43.42002361191665"
00201001,"-50.0, -50.0, 78.23253476159019, 18.060355326416154"
00201010,"-50.0, 130.15857331310553, 36.535241660161034, -50.0"
00201011,"-50.0, -50.0, 34.31576676176327, -50.0"
00201100,"-50.0, 36.98508634224237, -50.0, -11.444242818210043"
00201101,"-50.0, -50.0, -50.0, 42.18955842909026"
00201110,"-50.0, 115.34453219771132, -50.0, -50.0"
00201111,"-81.30691937016202, -98.4375, -99.21875, -99.53125"
00210000,"0.0, 0.0, 0.0, 0.0"
00210001,"98.32333618047713, -50.0, 1.363597843936479, -3.3219281816383415"
00210010,"-14.085329759311023, 126.49102535156166, -4.177658637302116, -50.0"
00210011,"-62.784799055661374, -75.0, -13.41218589913484, -75.0"
00210100,"86.66863259361332, 92.67822230660029, -50.0, 85.60995876232342"
00210101,"68.62570817543609, -50.0, -50.0, 6.634440608051636"
00210110,"45.09663635119277, 94.25780750168333, -50.0, -50.0"
00210111,"4.205612487772839, -90.50685859676942, -87.5, -99.9755859375"
00211000,"-50.0, 93.64255862134331, 1.2207534137131655, 1.5696557299187575"
00211001,"-36.312335541146325, -50.0, 76.64828300619958, -24.352814796745953"
00211010,"-36.23791910204562, 41.89995521581739, -7.795195467733279, -43.566075756208235"
00211011,"-50.0, -75.0, 49.44580904353818, -75.0"
00211100,"-87.5, 90.26646314372138, -78.0257317407197, -62.60215284855094"
00211101,"-75.0, -87.5, -87.5, -61.33303027829231"
00211110,"-50.0, -15.762986380119152, -50.0, -50.0"
00211111,"-99.99999994899096, -99.99999238560228, -99.99999995343387, -99.99999995343387"
00220000,"0.0, 0.0, 0.0, 0.0"
00220001,"-16.14860719091307, -50.0, -4.305351287342432, 57.762741826926636"
00220010,"-1.9018273883890089, 2.9682153659938004, 103.31864559586964, -50.0"
00220011,"-58.916151025285416, -50.0, 19.983961954869613, -75.0"
00220100,"1.968433007786703, 17.211995095609527, -50.0, 40.13658240382968"
00220101,"-22.574012278550427, -50.0, -50.0, 31.086458831819765"
00220110,"-14.5388052338784, 23.719614663525007, -50.0, -50.0"
00220111,"26.06253083659624, -96.875, -98.4375, -87.5"
00221000,"-50.0, -10.768098820770215, 132.37497368138776, -6.433147941709283"
00221001,"-50.0, -50.0, 20.27255468276155, -27.77616121101431"
00221010,"-50.0, -42.265996460365784, 25.353035504074725, -85.0"
00221011,"-50.0, -39.543137818758865, 14.113220705983503, -50.0"
00221100,"-50.0, -4.51927410579496, -87.5, -48.972815688882605"
00221101,"-75.0, -75.0, -75.0, -0.23069382832985852"
00221110,"-50.0, 20.814605218438892, -50.0, -50.0"
00221111,"-99.99999867305903, -99.99999925494194, -99.99999925494194, -99.99999910593033"
01000000,"0.0, 0.0, 0.0, 0.0"
01000001,"0.0, 0.0, 0.0, 0.0"
01000010,"0.0, 0.0, 0.0, 0.0"
01000011,"0.0, 0.0, 0.0, 0.0"
01000100,"0.0, 0.0, 0.0, 0.0"
01000101,"0.0, 0.0, 0.0, 0.0"
01000110,"0.0, 0.0, 0.0, 0.0"
01000111,"0.0, 0.0, 0.0, 0.0"
01001000,"0.0, 0.0, 0.0, 0.0"
01001001,"0.0, 0.0, 0.0, 0.0"
01001010,"0.0, 0.0, 0.0, 0.0"
01001011,"0.0, 0.0, 0.0, 0.0"
01001100,"0.0, 0.0, 0.0, 0.0"
01001101,"0.0, 0.0, 0.0, 0.0"
01001110,"0.0, 0.0, 0.0, 0.0"
01001111,"0.0, 0.0, 0.0, 0.0"
01010000,"0.0, 0.0, 0.0, 0.0"
01010001,"0.0, 0.0, 0.0, 0.0"
01010010,"0.0, 0.0, 0.0, 0.0"
01010011,"0.0, 0.0, 0.0, 0.0"
01010100,"0.0, 0.0, 0.0, 0.0"
01010101,"0.0, 0.0, 0.0, 0.0"
01010110,"0.0, 0.0, 0.0, 0.0"
01010111,"0.0, 0.0, 0.0, 0.0"
01011000,"0.0, 0.0, 0.0, 0.0"
01011001,"0.0, 0.0, 0.0, 0.0"
01011010,"0.0, 0.0, 0.0, 0.0"
01011011,"0.0, 0.0, 0.0, 0.0"
01011100,"0.0, 0.0, 0.0, 0.0"
01011101,"0.0, 0.0, 0.0, 0.0"
01011110,"0.0, 0.0, 0.0, 0.0"
01011111,"0.0, 0.0, 0.0, 0.0"
